Kursname,Status
"Einzelprojekt Anwendungsentwickler",offen
"Einzelprojekt Systemintegration",offen
"Einzelprojekt Daten- und Prozessanalyse",offen
"Grundlagen Softwareentwicklung - C#",offen
"Grundlagen Softwarekonzeption",offen
"Gruppenprojekt Daten- und Prozessanalyse",offen
"Gruppenprojekt Anwendungsentwickler",offen
"Gruppenprojekt Sytemintegration",offen
"Grundlagen Netzwerke",offen
"Systemintegration",offen
"Netzplan",offen
"Arbeits- und Gesprächstechniken (AGT 2024)",offen
"Arbeits- und Gesprächstechniken (AGT 2025)",offen
"IT-Grundlagen und Logik",offen
"Betriebswirtschaftslehre (BWL)",offen
"Datenbanken und (My)SQL",offen
"Präsentationtechniken",offen
"COBOL - Praxisbezogene Lehrveranstaltung",offen
"Speichersysteme",offen
"Testen und Testfallkatalog",offen
"UML",offen
"Sozialversicherung im Überblick",offen
"Word Grundlagen",offen
"Word Excel Notes",offen
"Networks Advanced",offen
"web3w  - dreiwöchiger Kurs HTML, CSS, PHP und JS",offen
"Versionverwaltung, Einstieg in die Welt von GIT",offen
"Gruppenprojekt: DRV Bund Sportfest",offen
"Mini-Projekt: Datenbanken mit Trigger",offen
"Java",offen
"Projekt Webseite Anwendungsentwickler",offen
"Web-Projekt für Systemadministratoren - 1 Woche",offen
"Web-Projekt für Anwendungsentwickler",offen
"Anleitung: VitePress in einem Lernwelt-HTML-Modul",offen
"Einstiegsqualifikation (EQ)",offen
"Grundlagen Datenschutz & Informationssicherheit",offen
"Java Grundlagen",offen
"Künstliche Intelligenz",offen
"Projekt Webseite Systemintegratoren",offen
"Python",offen
"Projektmanagement LernLab IT Würzburg",offen
"Rechercheprojekt Prozesse 2025",offen
"Grundlagen IT-Netze",offen
"Moderne Webentwicklung  - PHP",offen
"Moderne Webentwicklung  - JavaScript",offen
"Moderne Webentwicklung - HTML5 und CSS",offen
